Project Name,Checkpoint Name,Created On,File Name,Lines,Comments,HTML Tags,Percent Complex Tags*,Hyperlinks (non-local),File Downloads (SRC=),Scripts,Java Applets
Ijzerwaren,Baseline,09 jan 2015,main\webapp\fonts\glyphicons-halflings-regular.woff,1,0,0,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\img\user.png,1,0,0,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\js\bootstrap.min.js,6,0,13,"0,0",1,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\js\our_script.js,9,0,0,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\META-INF\context.xml,3,0,1,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\dispatcher-servlet-servlet.xml,33,4,8,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\footer.tag,12,0,1,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\head.tag,35,10,12,"0,0",2,5,5,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\menu.tag,20,0,14,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\menu_admin.tag,64,2,36,"0,0",7,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\menu_customer.tag,75,3,49,"2,0",10,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\menu_employee.tag,60,2,33,"2,9",4,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\menu_guest.tag,70,1,42,"2,3",10,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\menu_manager.tag,61,3,33,"2,9",4,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\tags\title_and_message.tag,28,2,10,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\about_us.jsp,20,1,9,"0,0",0,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\contact.jsp,829,1,643,"0,0",0,1,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\establishment_add_edit_view.jsp,191,17,94,"8,7",4,0,2,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\establishment_list.jsp,79,4,41,"2,4",4,0,2,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\index.jsp,20,2,9,"0,0",1,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\order_add.jsp,57,2,18,"14,3",1,0,2,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\order_history.jsp,79,2,34,"2,9",1,0,2,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_add.jsp,112,9,53,"18,5",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_add_step_1.jsp,33,4,13,"7,1",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_add_step_2.jsp,131,16,60,"13,0",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_edit.jsp,63,2,23,"23,3",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_info.jsp,76,4,32,"3,0",2,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_list.jsp,101,9,48,"0,0",3,2,2,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\product_list_table.jsp,64,4,31,"3,1",5,0,2,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\shopping_cart.jsp,79,4,34,"2,9",4,0,0,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\template.jsp,21,3,7,"0,0",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\timelog_list.jsp,58,4,30,"3,2",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\user_add_edit_view.jsp,249,25,129,"9,8",3,0,4,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\user_list.jsp,89,3,50,"3,8",4,0,3,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\views\user_login.jsp,41,2,16,"15,8",0,0,1,0
Ijzerwaren,Baseline,09 jan 2015,main\webapp\WEB-INF\web.xml,6,0,1,"0,0",0,0,0,0
